epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2652.05,3.37047,5.38118,3.89687,0.00064,0.01906,0.00056,0.00016,3.22114,5.54012,3.93248,1.41491e-05,1.41491e-05,1.41491e-05
91,2680.53,3.30443,5.57279,3.89868,0.00072,0.01604,0.00075,0.00012,3.22842,5.52799,3.92753,1.2971e-05,1.2971e-05,1.2971e-05
92,2709.48,3.31069,5.60619,3.87233,0.00082,0.01869,0.00064,0.00027,3.23657,5.51411,3.92236,1.17929e-05,1.17929e-05,1.17929e-05
93,2740.78,3.24509,5.58676,3.90208,0.00038,0.01995,0.00044,0.00011,3.2466,5.50791,3.92067,1.06148e-05,1.06148e-05,1.06148e-05
94,2769.02,3.32508,5.58387,3.91042,0.00064,0.01835,0.00046,0.00023,3.24561,5.50292,3.91501,9.4367e-06,9.4367e-06,9.4367e-06
95,2796.95,3.28354,5.57633,3.88021,0.00066,0.02003,0.0006,0.00028,3.24347,5.5033,3.9124,8.2586e-06,8.2586e-06,8.2586e-06
96,2826.25,3.32044,5.57651,3.9046,0.00058,0.01863,0.00099,0.00045,3.24376,5.50377,3.90855,7.0805e-06,7.0805e-06,7.0805e-06
97,2855.15,3.3316,5.5473,3.84147,0.0006,0.01967,0.00058,0.00026,3.24616,5.49827,3.91215,5.9024e-06,5.9024e-06,5.9024e-06
98,2883.55,3.26498,5.59311,3.87685,0.00056,0.0193,0.00059,0.00029,3.24251,5.49664,3.91082,4.7243e-06,4.7243e-06,4.7243e-06
99,2911.68,3.26483,5.54032,3.89892,0.00063,0.02014,0.0006,0.0003,3.23638,5.49109,3.90767,3.5462e-06,3.5462e-06,3.5462e-06
100,2939.76,3.25338,5.56234,3.86212,0.00058,0.02176,0.00082,0.00034,3.23368,5.49662,3.90873,2.3681e-06,2.3681e-06,2.3681e-06
