epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4331.84,3.32962,5.35835,3.81219,0.00827,0.02537,0.00531,0.00237,3.22089,5.46417,3.82203,2.23958e-05,2.23958e-05,2.23958e-05
84,4389.32,3.35922,5.40413,3.82101,0.00079,0.01563,0.0005,8e-05,3.22178,5.46602,3.82528,2.12177e-05,2.12177e-05,2.12177e-05
85,4445.2,3.32151,5.3862,3.84109,0.01498,0.0342,0.01458,0.0029,3.21978,5.46708,3.82566,2.00396e-05,2.00396e-05,2.00396e-05
86,4499.52,3.37768,5.36935,3.83062,0.00093,0.01947,0.00059,0.0001,3.21822,5.46745,3.82692,1.88615e-05,1.88615e-05,1.88615e-05
87,4551.46,3.33366,5.3883,3.81814,0.00097,0.01721,0.00129,0.00018,3.2185,5.46557,3.82798,1.76834e-05,1.76834e-05,1.76834e-05
88,4601.63,3.42565,5.37256,3.84403,0.00092,0.02098,0.00126,0.0002,3.21407,5.4637,3.82841,1.65053e-05,1.65053e-05,1.65053e-05
89,4652.54,3.36862,5.39205,3.82449,0.00077,0.01887,0.00152,0.00024,3.21295,5.46131,3.82244,1.53272e-05,1.53272e-05,1.53272e-05
90,4706.19,3.35045,5.36573,3.79364,0.00081,0.02215,0.00096,0.00019,3.21335,5.45527,3.8175,1.41491e-05,1.41491e-05,1.41491e-05
91,4761.82,3.32455,5.50575,3.78844,0.00115,0.03125,0.0013,0.00027,3.21553,5.44307,3.80329,1.2971e-05,1.2971e-05,1.2971e-05
92,4812.63,3.30636,5.57976,3.75893,0.00203,0.03174,0.00176,0.00033,3.21172,5.43296,3.79021,1.17929e-05,1.17929e-05,1.17929e-05
93,4865.3,3.22415,5.52435,3.7685,0.00139,0.02544,0.00196,0.00039,3.21054,5.42244,3.78028,1.06148e-05,1.06148e-05,1.06148e-05
94,4919.37,3.30776,5.52582,3.77764,0.00194,0.02622,0.00212,0.00043,3.20543,5.42106,3.77286,9.4367e-06,9.4367e-06,9.4367e-06
95,4972.71,3.28614,5.52026,3.77076,0.00167,0.02702,0.0031,0.00056,3.20816,5.42061,3.7644,8.2586e-06,8.2586e-06,8.2586e-06
96,5026.19,3.28864,5.49616,3.76779,0.00172,0.03034,0.00331,0.00066,3.20396,5.40788,3.76135,7.0805e-06,7.0805e-06,7.0805e-06
97,5078.92,3.32168,5.48652,3.73802,0.00163,0.02702,0.00638,0.00151,3.21452,5.40247,3.76044,5.9024e-06,5.9024e-06,5.9024e-06
98,5133.8,3.27247,5.51569,3.74543,0.00131,0.02453,0.00448,0.00093,3.21378,5.40797,3.75865,4.7243e-06,4.7243e-06,4.7243e-06
99,5187.8,3.24363,5.53004,3.78383,0.00204,0.02565,0.004,0.00068,3.21859,5.40809,3.75819,3.5462e-06,3.5462e-06,3.5462e-06
100,5241.96,3.29289,5.5512,3.7511,0.65514,0.00223,0.00398,0.00075,3.2174,5.41227,3.75717,2.3681e-06,2.3681e-06,2.3681e-06
